Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Rating,Global_Sales
1,Grand Theft Auto V,Wii,2018.0,Adventure,EA,1.47,0.76,0.45,0.22,M,2.9
2,Call of Duty: Black Ops,Switch,2015.0,Simulation,Bandai Namco,1.05,0.07,0.25,0.16,E10+,1.53
3,Minecraft,DS,2013.0,Sports,Nintendo,2.91,0.15,0.29,1.21,T,4.56
4,Red Dead Redemption 2,PS3,2015.0,Adventure,Konami,1.61,0.15,1.17,0.04,T,2.97
5,FIFA 22,Wii,2017.0,Action,Nintendo,0.27,1.26,0.21,0.15,AO,1.89
6,The Witcher 3,PSP,,Puzzle,Sega,0.11,1.64,0.36,1.05,,3.16
7,God of War,PC,2013.0,Puzzle,Microsoft,1.54,1.05,0.77,0.6,,3.96
8,Spider-Man,Wii,2017.0,Sports,Capcom,0.04,3.93,0.25,0.51,,4.73
9,Fortnite,DS,2022.0,Simulation,Bandai Namco,1.32,0.56,0.49,0.09,E10+,2.46
10,Cyberpunk 2077,PS3,2019.0,Strategy,Capcom,4.23,0.4,0.99,0.06,,5.68
11,Elden Ring,Switch,2019.0,Shooter,Bandai Namco,1.29,2.44,1.49,0.33,,5.55
12,Halo Infinite,DS,2021.0,Simulation,Activision,0.74,0.3,0.08,0.8,E10+,1.92
13,FIFA 21,DS,2022.0,Strategy,EA,1.55,3.96,1.31,0.24,,7.06
14,NBA 2K22,PC,2022.0,Puzzle,Sega,0.92,0.01,0.34,0.25,T,1.52
15,Assassin's Creed Valhalla,Xbox 360,2015.0,RPG,Konami,1.18,4.2,0.15,0.1,M,5.63
16,Far Cry 6,PS3,2019.0,Action,None,4.26,0.05,0.31,0.44,E10+,5.06
17,Watch Dogs Legion,Xbox One,2013.0,Sports,Capcom,0.73,2.66,1.96,0.06,AO,5.41
18,Resident Evil Village,DS,2016.0,Action,Sega,4.87,0.9,0.34,0.12,,6.23
19,Deathloop,Xbox 360,2016.0,Racing,Ubisoft,3.54,5.95,0.2,0.17,E10+,9.86
20,Returnal,Xbox One,2017.0,Racing,Ubisoft,0.33,0.09,0.5,0.21,E,1.13
21,Demon's Souls,PS3,2019.0,Simulation,Nintendo,0.11,0.97,0.14,0.08,E,1.3
22,Ratchet & Clank,PS4,2019.0,Puzzle,Konami,0.16,4.18,0.04,0.04,M,4.42
23,Horizon Forbidden West,PSP,2016.0,Puzzle,Activision,0.03,0.89,0.07,0.28,T,1.27
24,Ghost of Tsushima,Xbox 360,,Shooter,Capcom,0.15,1.19,0.07,0.1,M,1.51
25,The Last of Us Part II,3DS,2015.0,Shooter,EA,1.72,1.43,0.08,0.26,M,3.49
26,Death Stranding,PS4,2018.0,Shooter,EA,0.11,0.73,0.07,0.05,M,0.96
27,Control,PSP,2014.0,RPG,Capcom,0.58,1.19,0.51,0.2,M,2.48
28,Sekiro,PC,,Adventure,Microsoft,2.8,1.05,0.1,0.23,AO,4.18
29,Dark Souls III,Wii,2021.0,Fighting,Activision,0.04,2.78,0.21,0.02,AO,3.05
30,Bloodborne,Switch,2017.0,Adventure,Sega,2.53,0.06,1.14,0.12,E10+,3.85
31,Nioh 2,3DS,2018.0,Action,Bandai Namco,0.5,0.4,0.32,0.04,E,1.26
32,Yakuza Like a Dragon,PC,,Adventure,Microsoft,0.19,3.6,0.55,0.02,M,4.36
